?? AI & Democracy Map Review v3;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
V.8 ID;Stable ID;Harm Mechanism;Harm Sub-cluster;Pro-Democracy Mechanism;Mitigation Mechanism;Mech ID;Mitigation Mech ID;Solution (paraphrased);Solution (verbatim);Threat (paraphrased);Threat (verbatim);Independent Opportunity (paraphrased);Independent Opportunity (verbatim);Source;Note;P4Dem Category  1;P4Dem Category  2;P4Dem  Category 3;P4Dem  Category 4;P4Dem  Category 5;P4Dem  Category 6;Notes KH;Notes Aurora;SY comments;More than 4 codes
19;136;Persuasion & opinion manipulation;Micro-targeting & voter suppression;///;;H4A;B1;AI literacy education (though effectiveness uncertain);"p. 53 — ""improved education or AI literacy could mitigate manipulative effects… but there is limited evidence for these claims""";Malicious actors have used AI to alter people's political opinions through targeted content, including documented real-world AI-driven influence operations;"p. 54 — ""Malicious actors have attempted to use AI systems to alter people's political opinions, or to make them share sensitive information or give away money""";///;///;Bengio, Y. (Chair) et al. (2026). International AI Safety Report 2026. Department for Science, Innovation and Technology (DSIT), UK Government. February 2026. Available at: International AI Safety Report 2026 | International AI Safety Report.;checked;3.2 PRIMARY Opinion Formation & Political Participation — AI is documented as already being used to alter political opinions through manipulative content.;4.1 SECONDARY External Influences on Democracy — Nation-state threat actors use AI-generated content in foreign influence operations (p. 61, Table 2.3).;2.1 SECONDARY Free & Fair Elections — AI influence operations explicitly target electoral contexts. P4Dem inference;;;;;;;no
179;18;///;;Civic & AI literacy building;;B1;B1;///;///;///;///;Expand AI education in schools to improve citizens' understanding of AI as it increasingly interacts with democratic institutions;"p.29 —  ""Strengthening public education on AI can help bolster democracy by improving citizens' understanding of these technologies as they increasingly collide with public life and with democratic institutions""";George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ;checked;3.2 PRIMARY Opinion Formation and Political Participation;2.3 SECONDARY Effective and Accountable Government;;;;;;;;no
128;112;Cyber-offensive capability amplification;Social engineering at scale;///;;H6C;B2;Implement employee training and awareness programmes on AI-driven phishing and social engineering threats.;"""Implement employee education and training procedures — Educate and simulate scenarios for employees to raise awareness of fraud and phishing scams."" (p. 21)";AI-enhanced phishing and social engineering. AI tools reduce phishing costs by over 95% while matching or exceeding human-crafted success rates, enabling mass-scale social engineering campaigns.;"""AI automated phishing attacks reduce the costs of phishing attacks by more than 95% while achieving equal or greater success rates."" (p. 12)";///;///;KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA Report - 2025 AI Threat Report.pdf ;checked;2.3 PRIMARYEffective & Accountable GovernmentAI phishing can infiltrate state institutions, compromising governance integrity. P4Dem inference;1.3 SECONDARYCivil & Political RightsTargeted phishing compromises accounts of activists, journalists, and civil society actors. P4Dem inference;;;;;;;;no
180;166;///;;Civic & AI literacy building;;B1;B1;///;///;///;///;Funding election offices to run voter education campaigns about AI risks and changes builds public resilience and prepares citizens for AI's evolving role in democratic processes.;"""Congress and the states should fund election offices to educate voters about AI""; ""State and local election officials, along with other government offices, will need to launch voter education campaigns to prepare the public for AI-related changes and challenges in the coming years.""  (Election Security Defenses) ";Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai;checked; 3.2 PRIMARY Opinion Formation and Political Participation; 2.1 SECONDARY Free and Fair Elections;;;;;;;;no
158;74;///;;Levelling the playing field;;B2;B2;///;///;///;///;AI could support societal diversity and openness;"p.2 — ""AI could also support diversity and openness""";European Parliament (2020). Artificial Intelligence: Threats and Opportunities. Available at: https://www.europarl.europa.eu/topics/en/article/20200918STO87404/artificial-intelligence-threats-and-opportunities;checked;1.1 PRIMARY Nationhood and Citizenship;3.2 SECONDARY Opinion Formation and Political Participation;;;;;;;;no
187;20;///;;Levelling the playing field;;B2;B2;///;///;///;///;Social activists can use AI tools to improve and tailor messaging to counter better-resourced adversaries;"p. 23 - ""scholars of democracy movements identify potential for social activists to use LLMs and other AI tools to improve messaging (and 'counter' messaging), helping social movements tailor messages to different audiences""";George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ;checked;3.2 PRIMARY Opinion Formation and Political Participation;;;;;;I don't think 1.3, as 1.3 is about rights and how they are granted/ensured by the state.;potentially also 1.3 Civil and Political Rights ;;no
162;58;///;;Levelling the playing field;;B2;B2;///;///;///;///;AI may help aging societies maintain productivity;"p.8 — ""AI can help aging societies complete substitutable work tasks and concentrate the shrinking labor force on currently nonsubstitutable tasks, thereby maintaining productivity levels in the face of growing demographic pressures.""";Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ;checked;1.4 PRIMARY Economic and Social Rights;;;;;;intersting thought. Same could probably go for 2.4 and 2.5, as it's about capacity. ;potentially also 2.3 Effective and Accountable Government;;no
191;66;///;;Levelling the playing field;;B2;B2;///;///;///;///;The proliferation of AI-generated content may increase the premium on trusted, quality-checked news sources, potentially reversing the commercial decline of reputable journalism;"p.6 ""automated misinformation in scale might turn out to strengthen intermediary institutions that provide information in democracies… professional, reliable, and impartial news sources might see a reversal of fortune""";Jungherr, A. (2023). Artificial Intelligence and Democracy: A Conceptual Framework. University of Bamberg. Available at: https://fis.uni-bamberg.de/server/api/core/bitstreams/1c38477b-52ed-46f9-a2f7-6392b76036f6/content ;checked;3.1 PRIMARY The Media in a Democratic Society;;;;;;;;;no
166;173;///;;Levelling the playing field;;B2;B2; /// ; /// ; /// ; /// ; AI tools can support voter outreach and fundraising in ways that level the playing field for campaigns that cannot afford expensive consultants, potentially democratising political competition ;" ""AI could revolutionize voter outreach and fundraising, thereby leveling the playing field for campaigns that otherwise could not afford expensive political consultants and staff"" (Introduction) ";Panditharatne, M., Norden, L., Zdanys, J., Weiner, D.I. and Abusaif, Y. (2025). An Agenda to Strengthen U.S. Democracy in the Age of AI. Brennan Center for Justice, February 13, 2025. Available at: https://www.brennancenter.org/our-work/policy-solutions/agenda-strengthen-us-democracy-age-ai;checked; 2.2 PRIMARY Democratic Role of Political Parties;; ; ;;;;;;no
167;89;///;;Levelling the playing field;;B2;B2;///;///;///;///;AI translation tools can expand participation across linguistic communities;"""Integrating AI could help by enabling dialogues between people in the same polity who speak different languages"" (p.4) ";Tsai, L.L., Pentland, A., Braley, A., Chen, N., Enríquez, J.R. and Reuel, A. (2024). Generative AI for Pro-Democracy Platforms. MIT Exploration of Generative AI. Available at: https://mit-genai.pubpub.org/pub/mn45hexw/release/10;checked;3.2 PRIMARY Opinion Formation and Political Participation;1.1 SECONDARY Nationhood and Citizenship;;;;;;;;no
